open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,take_buy_base_asset_volume,take_buy_quote_asset_volume,ignore
1610611200000,38199.52,38786.1,37862.04,38365.86,13654.697529,1610625599999,523188981.5529691,366217,6818.658179,261331821.428756,0.0
1610625600000,38365.86,40100.0,37707.0,39546.01,25980.308922,1610639999999,1017238996.6485081,524030,12413.210762,485983604.1554603,0.0
1610640000000,39546.01,40000.0,39212.15,39876.98,14738.643826,1610654399999,583719454.1556658,330302,7631.185703,302297553.2049164,0.0
1610654400000,39876.97,39935.1,38259.25,39144.5,16673.910273,1610668799999,648885549.4216868,401887,8335.56134,324349000.40405583,0.0
1610668800000,39145.21,39747.76,38450.0,38700.0,12973.737042,1610683199999,508873334.29280525,305284,6422.712893,251928480.86986524,0.0
1610683200000,38700.0,38853.09,37554.94,38473.08,14317.810678,1610697599999,547253369.4873887,319615,6639.763037,253786523.21509996,0.0
1610697600000,38473.07,38780.0,37923.0,38108.88,11723.414644,1610711999999,449874935.84615916,335487,5787.103888,222143495.50188205,0.0
1610712000000,38108.87,38194.04,35258.0,35610.72,28829.424903,1610726399999,1064655138.9267429,572044,14125.668358,521578171.4481011,0.0
1610726400000,35610.79,36433.51,34408.0,35217.26,35005.439351,1610740799999,1245648365.3042884,652490,17132.532877,610073510.8987317,0.0
1610740800000,35218.94,36888.0,34801.15,36742.22,15451.094298,1610755199999,555283754.8242521,375881,7630.253167,274213630.82618225,0.0
1610755200000,36737.43,37669.0,35852.93,36532.92,15996.272919,1610769599999,590057850.6442553,342966,8076.355383,297983081.69600046,0.0
1610769600000,36532.92,36959.61,35520.0,36574.86,12788.977347,1610783999999,463626987.68885636,282495,6060.35167,219882958.054447,0.0
1610784000000,36565.74,37950.0,36375.88,37680.0,14546.1365,1610798399999,543759642.9870383,370572,7561.253119,282630509.5229075,0.0
1610798400000,37680.0,37886.0,36671.2,37461.99,14905.098979,1610812799999,555837218.9038811,382651,7421.473847,276889707.11668754,0.0
1610812800000,37463.46,37713.94,36200.0,36376.39,12777.18605,1610827199999,471208170.17312044,338068,6425.293891,236940391.16946092,0.0
1610827200000,36376.39,36800.0,35357.8,35994.98,15334.759713,1610841599999,554350465.752133,349611,6875.695826,248833474.45183095,0.0
1610841600000,35994.98,36744.05,35520.0,36177.0,10523.420907,1610855999999,381269344.351566,294292,5472.348624,198295480.35703877,0.0
1610856000000,36177.0,36382.38,34518.04,34760.9,14085.48497,1610870399999,498540134.3812346,305622,6040.528335,213887196.98176947,0.0
1610870400000,34760.91,35400.0,33850.0,35267.17,20790.970257,1610884799999,720441738.3096222,407306,10100.776138,350111169.2133261,0.0
1610884800000,35270.0,35973.89,34666.0,35728.47,14071.341158,1610899199999,496464151.78450376,320526,7082.147557,249951825.97375825,0.0
1610899200000,35728.47,36166.47,35514.99,35633.91,9298.406284,1610913599999,333403616.09522617,251700,4978.960598,178533085.0484924,0.0
1610913600000,35633.9,36852.5,35506.0,35828.61,11388.103808,1610927999999,412984055.31851137,281196,5838.877309,211869875.27683958,0.0
1610928000000,35824.99,36208.0,34842.99,35106.25,12865.201223,1610942399999,458784067.47044635,275492,5630.92909,201096490.65041697,0.0
1610942400000,35108.27,36278.68,34800.0,36104.61,9931.587621,1610956799999,352219573.6697441,242967,4730.151887,167809299.12787744,0.0
1610956800000,36100.55,36650.0,35771.6,36442.08,11719.16756,1610971199999,424923319.64232504,289027,6058.800897,219686668.35166416,0.0
1610971200000,36443.91,37469.83,36047.89,36405.98,18106.506954,1610985599999,667252338.447238,388795,10114.412542,372955176.4949249,0.0
