open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,take_buy_base_asset_volume,take_buy_quote_asset_volume,ignore
1609718400000,33000.05,41950.0,28130.0,38150.02,850700.266152,1610323199999,30894408653.64546,18127566,416647.067571,15120789261.095215,0.0
1610323200000,38150.02,40100.0,30420.0,35828.61,895315.076106,1610927999999,31769417713.860428,18405157,442149.318301,15696696613.819687,0.0
1610928000000,35824.99,37850.0,28850.0,32259.9,637026.042053,1611532799999,21335137260.47123,14638581,309335.867048,10370259553.73558,0.0
1611532800000,32259.45,38531.9,29241.72,33092.98,747463.508509,1612137599999,24948673733.690006,16555006,371060.163317,12396571060.77586,0.0
1612137600000,33092.97,40955.51,32296.16,38795.69,583442.331544,1612742399999,21599895189.58116,13815026,291987.980694,10814285526.145718,0.0
1612742400000,38795.69,49707.43,37988.89,48577.79,664186.270909,1613347199999,30558163844.535442,18380270,335475.284061,15434310277.427107,0.0
1613347200000,48580.47,58352.8,45570.79,57408.57,533487.799699,1613951999999,27769064381.543262,15851564,266431.948968,13868919408.71599,0.0
1613952000000,57412.35,57508.47,43000.0,45135.66,737125.746365,1614556799999,36056079517.941505,17606321,358805.28068,17551047321.2073,0.0
1614556800000,45134.11,52640.0,44950.53,50971.75,490819.562968,1615161599999,24017266082.750584,13825664,242923.901683,11891428274.15951,0.0
1615161600000,50959.11,61844.0,49274.67,58968.31,514559.698685,1615766399999,28846698413.56187,16229755,257377.748159,14440581804.396273,0.0
1615766400000,58976.08,60633.43,53271.34,57351.56,463194.21418,1616371199999,26483848363.71589,14553773,226130.965148,12934458930.897257,0.0
1616371200000,57351.56,58430.73,50427.56,55777.63,446278.628413,1616975999999,24254500734.206223,13022316,218408.216212,11874290386.328753,0.0
1616976000000,55777.65,60200.0,54800.01,58202.01,367477.893273,1617580799999,21438740639.10086,11891110,183319.197491,10697064859.42125,0.0
1617580800000,58202.01,61500.0,55473.0,60002.43,375865.593614,1618185599999,21944712196.726185,13696365,188038.894028,10984335663.811703,0.0
1618185600000,59998.8,64854.0,50931.3,56150.01,549048.298032,1618790399999,33238307417.43094,17446531,266367.194149,16134213581.46212,0.0
